pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
HD 51608 b,HD 51608,1,2,Radial Velocity,2019,La Silla Observatory,0,14.07260000,0.00160000,-0.00160000,0,0.105900,0.004300,-0.004600,0,3.620,,,0,0.323,,,0,12.77000,1.20000,-1.19000,0,0.04020,0.00380,-0.00370,0,Msini,0.090000,0.040000,-0.040000,0,,,,,,,,,0,G7 V,5358.00,22.00,-22.00,0,,,,,0.80,,,0,-0.070,0.010,-0.010,0,[Fe/H],4.36,0.05,-0.05,0,06h54m51.29s,103.7137102,-55d15m36.07s,-55.2600189,35.0553000,0.0332000,-0.0332000,8.1700000,0.0300000,-0.0300000,6.3280000,0.0180000,-0.0180000,7.9605800,0.0002790,-0.0002790
HD 51608 c,HD 51608,1,2,Radial Velocity,2019,La Silla Observatory,0,95.94460000,0.15550000,-0.13660000,0,0.380900,0.015300,-0.016400,0,3.870,,,0,0.346,,,0,14.31000,1.63000,-1.53000,0,0.04500,0.00510,-0.00480,0,Msini,0.140000,0.070000,-0.070000,0,,,,,,,,,0,G7 V,5358.00,22.00,-22.00,0,,,,,0.80,,,0,-0.070,0.010,-0.010,0,[Fe/H],4.36,0.05,-0.05,0,06h54m51.29s,103.7137102,-55d15m36.07s,-55.2600189,35.0553000,0.0332000,-0.0332000,8.1700000,0.0300000,-0.0300000,6.3280000,0.0180000,-0.0180000,7.9605800,0.0002790,-0.0002790
HD 52265 b,HD 52265,1,1,Radial Velocity,2000,W. M. Keck Observatory,0,119.27000000,0.02000000,-0.02000000,0,0.520000,0.009000,-0.009000,0,13.700,,,0,1.220,,,0,384.57430,15.89150,-15.89150,0,1.21000,0.05000,-0.05000,0,Msini,0.270000,0.020000,-0.020000,0,,,,,405,75,-75,0,0,,6136.00,,,0,1.32,0.02,-0.02,0,1.20,,,0,0.210,0.060,-0.060,0,[Fe/H],4.36,,,0,07h00m17.91s,105.0746449,-05d22m00.53s,-5.3668142,29.9803000,0.0423500,-0.0423500,6.2935100,0.0230000,-0.0230000,4.9530000,0.0170000,-0.0170000,6.1525700,0.0006094,-0.0006094
HD 5319 b,HD 5319,1,2,Radial Velocity,2007,W. M. Keck Observatory,0,637.10000000,1.40000000,-1.40000000,0,1.570000,0.110000,-0.110000,0,13.500,,,0,1.210,,,0,494.54348,13.34886,-13.34886,0,1.55600,0.04200,-0.04200,0,Msini,0.092000,0.025000,-0.025000,0,,,,,,,,,0,G5,4871.00,,,0,4.06,,,0,1.27,,,0,0.150,0.030,-0.030,0,[Fe/H],3.26,,,0,00h55m01.39s,13.7558096,+00d47m21.63s,0.7893425,121.4050000,0.7075000,-0.7075000,8.0500000,0.0300000,-0.0300000,5.6990000,0.0200000,-0.0200000,7.7723800,0.0002160,-0.0002160
HD 5319 c,HD 5319,1,2,Radial Velocity,2014,W. M. Keck Observatory,0,872.20000000,6.00000000,-6.00000000,0,1.930000,0.130000,-0.130000,0,13.800,,,0,1.230,,,0,334.67499,22.88376,-22.88376,0,1.05300,0.07200,-0.07200,0,Msini,0.183000,0.064000,-0.064000,0,,,,,,,,,0,G5,4871.00,,,0,4.06,,,0,1.27,,,0,0.150,0.030,-0.030,0,[Fe/H],3.26,,,0,00h55m01.39s,13.7558096,+00d47m21.63s,0.7893425,121.4050000,0.7075000,-0.7075000,8.0500000,0.0300000,-0.0300000,5.6990000,0.0200000,-0.0200000,7.7723800,0.0002160,-0.0002160
HD 55696 b,HD 55696,1,1,Radial Velocity,2018,W. M. Keck Observatory,0,1827.00000000,10.00000000,-10.00000000,0,3.180000,0.180000,-0.180000,0,13.000,,,0,1.160,,,0,1230.00210,228.83760,-228.83760,0,3.87000,0.72000,-0.72000,0,Msini,0.705000,0.022000,-0.022000,0,,,,,,,,,0,G0 V,6012.00,,,0,1.52,0.07,-0.07,0,1.29,0.20,-0.20,0,0.370,,,0,[Fe/H],,,,,07h12m14.93s,108.0622029,-38d10m28.70s,-38.1746390,77.9693000,0.1831500,-0.1831500,7.9500000,0.0300000,-0.0300000,6.5910000,0.0200000,-0.0200000,7.8113500,0.0003210,-0.0003210
HD 5583 b,HD 5583,1,1,Radial Velocity,2016,Roque de los Muchachos Observatory,0,139.35000000,0.21000000,-0.22000000,0,0.530000,0.020000,-0.020000,0,12.800,,,0,1.140,,,0,1837.05740,168.44990,-168.44990,0,5.78000,0.53000,-0.53000,0,Msini,0.076000,0.070000,-0.023000,0,,,,,,,,,0,,4830.00,45.00,-45.00,0,9.09,1.50,-1.50,0,1.01,0.10,-0.10,0,-0.500,0.180,-0.180,0,[Fe/H],2.53,0.14,-0.14,0,00h57m56.87s,14.4869460,+34d59m07.19s,34.9853306,219.2160000,3.4305000,-3.4305000,7.6040000,0.0020000,-0.0020000,5.2210000,0.0200000,-0.0200000,7.3076900,0.0003300,-0.0003300
HD 5608 b,HD 5608,1,1,Radial Velocity,2012,Okayama Astrophysical Observatory,0,779.90000000,4.90000000,-4.90000000,0,1.911000,0.088000,-0.088000,0,13.500,,,0,1.200,,,0,534.27223,25.74423,-25.74423,0,1.68100,0.08100,-0.08100,0,Msini,0.056000,0.039000,-0.039000,0,,,,,,,,,0,,4877.00,,,0,5.14,,,0,1.53,,,0,0.140,,,0,[Fe/H],3.19,,,0,00h58m14.26s,14.5594349,+33d57m02.08s,33.9505774,58.1105000,0.2209000,-0.2209000,6.0027200,0.0230000,-0.0230000,3.8260000,0.3720000,-0.3720000,5.7269500,0.0016237,-0.0016237
HD 564 b,HD 564,1,1,Radial Velocity,2014,La Silla Observatory,0,492.30000000,2.30000000,-2.30000000,0,1.200000,0.020000,-0.020000,0,12.500,,,0,1.120,,,0,104.88000,9.54000,-9.54000,0,0.33000,0.03000,-0.03000,0,Msini,0.096000,0.067000,-0.067000,0,,,,,,,,,0,G2/G3 V,5902.00,61.00,-61.00,0,1.01,0.05,-0.05,0,0.96,0.05,-0.05,0,-0.200,0.050,-0.050,0,[Fe/H],4.53,0.10,-0.10,0,00h09m52.67s,2.4694459,-50d16m04.44s,-50.2678998,51.1659000,0.0939000,-0.0939000,8.3200000,0.0300000,-0.0300000,6.8930000,0.0210000,-0.0210000,8.1707700,0.0002840,-0.0002840
HD 5891 b,HD 5891,1,1,Radial Velocity,2011,W. M. Keck Observatory,0,177.11000000,0.32000000,-0.32000000,0,0.640000,0.040000,-0.040000,0,12.600,,,0,1.130,,,0,2425.04290,454.49690,-454.49690,0,7.63000,1.43000,-1.43000,0,Msini,0.070000,0.020000,-0.020000,0,,,,,,,,,0,,4673.00,123.00,-123.00,0,10.64,0.99,-0.99,0,1.93,0.54,-0.54,0,-0.370,,,0,[Fe/H],2.67,0.09,-0.09,0,01h00m33.20s,15.1383168,+20d17m32.33s,20.2923139,283.5020000,4.8630000,-4.8630000,8.0900000,0.0300000,-0.0300000,5.6210000,0.0160000,-0.0160000,7.7982500,0.0003160,-0.0003160
HD 59686 A b,HD 59686 A,2,1,Radial Velocity,2016,Lick Observatory,0,299.36000000,0.26000000,-0.31000000,0,1.086000,0.000600,-0.000700,0,12.700,,,0,1.130,,,0,2199.38360,57.20940,-76.27920,0,6.92000,0.18000,-0.24000,0,Msini,0.050000,0.030000,-0.020000,0,,,,,,,,,0,K2 III,4658.00,24.00,-24.00,0,13.20,0.30,-0.30,0,1.90,0.20,-0.20,0,0.150,0.100,-0.100,0,[Fe/H],2.49,0.05,-0.05,0,07h31m48.45s,112.9518629,+17d05m08.59s,17.0857195,89.2721000,0.7315500,-0.7315500,5.4429900,0.0230000,-0.0230000,2.9220000,0.3000000,-0.3000000,5.1322800,0.0035591,-0.0035591
HD 60532 b,HD 60532,1,2,Radial Velocity,2008,La Silla Observatory,0,201.90000000,0.30000000,-0.30000000,0,0.770000,0.020000,-0.020000,0,13.800,,,0,1.230,,,0,336.89980,25.42640,-25.42640,0,1.06000,0.08000,-0.08000,0,Msini,0.260000,0.020000,-0.020000,0,,,,,,,,,0,F6 IV,6245.00,80.00,-80.00,0,2.57,0.12,-0.12,0,1.50,0.09,-0.09,0,-0.260,,,0,[Fe/H],3.80,0.07,-0.07,0,07h34m03.14s,113.5130656,-22d17m45.12s,-22.2958661,25.9716000,0.1567500,-0.1567500,4.4400000,0.0300000,-0.0300000,3.3550000,0.2860000,-0.2860000,4.3079300,0.0039880,-0.0039880
HD 60532 c,HD 60532,1,2,Radial Velocity,2008,La Silla Observatory,0,600.10000000,2.40000000,-2.40000000,0,1.600000,0.040000,-0.040000,0,13.300,,,0,1.180,,,0,797.75330,50.85280,-50.85280,0,2.51000,0.16000,-0.16000,0,Msini,0.030000,0.020000,-0.020000,0,,,,,,,,,0,F6 IV,6245.00,80.00,-80.00,0,2.57,0.12,-0.12,0,1.50,0.09,-0.09,0,-0.260,,,0,[Fe/H],3.80,0.07,-0.07,0,07h34m03.14s,113.5130656,-22d17m45.12s,-22.2958661,25.9716000,0.1567500,-0.1567500,4.4400000,0.0300000,-0.0300000,3.3550000,0.2860000,-0.2860000,4.3079300,0.0039880,-0.0039880
HD 62509 b,HD 62509,1,1,Radial Velocity,2006,Multiple Observatories,0,589.64000000,0.81000000,-0.81000000,0,1.640000,0.270000,-0.270000,0,13.300,,,0,1.190,,,0,731.00000,140.00000,-140.00000,0,2.30000,0.45000,-0.45000,0,Msini,0.020000,0.030000,-0.030000,0,,,,,,,,,0,,4892.63,10.22,-10.22,0,8.90,0.40,-0.40,0,2.00,0.10,0.00,0,0.103,0.009,-0.009,0,[M/H],2.78,0.07,-0.07,0,07h45m18.92s,116.3288240,+28d01m34.06s,28.0261270,,,,1.1251200,0.0230000,-0.0230000,-0.9360000,0.1600000,-0.1600000,,,
HD 63454 b,HD 63454,1,1,Radial Velocity,2005,La Silla Observatory,0,2.81805000,0.00007100,-0.00007100,0,0.040000,0.000000,0.000000,0,12.310,,,0,1.098,,,0,79.45750,3.17830,-3.17830,0,0.25000,0.01000,-0.01000,0,Msini,0.000000,,,0,,,,,,,,,0,K4 V,4812.00,28.00,-28.00,0,0.77,0.01,-0.01,0,0.42,0.03,-0.03,0,0.100,,,0,[Fe/H],4.28,0.03,-0.03,0,07h39m21.75s,114.8406393,-78d16m44.93s,-78.2791464,37.6894000,0.0280000,-0.0280000,9.3700000,0.0300000,-0.0300000,6.9980000,0.0270000,-0.0270000,9.0540200,0.0004410,-0.0004410
HD 63765 b,HD 63765,1,1,Radial Velocity,2009,La Silla Observatory,0,358.00000000,1.00000000,-1.00000000,0,0.940000,0.020000,-0.020000,0,14.200,,,0,1.270,,,0,168.44990,9.53490,-9.53490,0,0.53000,0.03000,-0.03000,0,Msini,0.240000,0.040000,-0.040000,0,,,,,,,,,0,G9 V,5449.00,11.00,-11.00,0,0.83,0.01,-0.01,0,0.65,0.01,-0.01,0,-0.160,,,0,[Fe/H],4.41,0.00,0.00,0,07h47m49.98s,116.9582617,-54d15m55.24s,-54.2653450,32.5376000,0.0328000,-0.0328000,8.1000000,0.0300000,-0.0300000,6.3160000,0.0210000,-0.0210000,7.9098300,0.0002900,-0.0002900
HD 64114 b,HD 64114,1,1,Radial Velocity,2019,Las Campanas Observatory,0,45.79100000,0.07000000,-0.07000000,0,0.246000,0.005000,-0.005000,0,4.410,,,0,0.393,,,0,17.80000,3.50000,-3.50000,0,0.05600,0.01101,-0.01101,0,Msini,0.120000,0.080000,-0.080000,0,,,,,,,,,0,G7 V,5676.00,32.00,-87.00,0,,,,,0.95,0.05,-0.05,0,,,,,,,,,,07h51m55.81s,117.9825560,-11d02m01.40s,-11.0337221,31.5262000,0.0409500,-0.0409500,7.7100000,0.0300000,-0.0300000,6.0460000,0.0240000,-0.0240000,7.5258100,0.0002520,-0.0002520
HD 6434 b,HD 6434,1,1,Radial Velocity,2003,La Silla Observatory,0,21.99800000,0.00900000,-0.00900000,0,0.140000,0.000000,0.000000,0,14.200,,,0,1.270,,,0,155.73670,12.71320,-12.71320,0,0.49000,0.04000,-0.04000,0,Msini,0.170000,0.030000,-0.030000,0,,,,,,,,,0,,5769.00,14.00,-14.00,0,1.12,0.01,-0.01,0,1.10,0.13,-0.13,0,-0.550,,,0,[Fe/H],4.38,0.05,-0.05,0,01h04m39.92s,16.1663441,-39d29m25.77s,-39.4904909,42.3580000,0.0754000,-0.0754000,7.7200000,0.0300000,-0.0300000,6.1870000,0.0260000,-0.0260000,7.5609000,0.0002230,-0.0002230
HD 65216 b,HD 65216,3,2,Radial Velocity,2003,La Silla Observatory,0,577.60000000,1.32800000,-1.32800000,0,1.301000,0.020000,-0.020000,0,13.600,,,0,1.220,,,0,411.58985,19.70546,-19.70546,0,1.29500,0.06200,-0.06200,0,Msini,0.270000,0.020000,-0.020000,0,,,,,,,,,0,G5 V,5612.00,,,0,0.88,0.01,-0.01,0,0.87,,,0,-0.168,0.007,-0.007,0,[M/H],4.44,,,0,07h53m41.03s,118.4209646,-63d38m48.08s,-63.6466892,35.1205000,0.0394500,-0.0394500,7.9700000,0.0300000,-0.0300000,6.3290000,0.0270000,-0.0270000,7.7943000,0.0002140,-0.0002140
HD 65216 c,HD 65216,3,2,Radial Velocity,2013,La Silla Observatory,0,5370.00000000,20.00000000,-20.00000000,0,5.750000,0.090000,-0.090000,0,13.400,,,0,1.190,,,0,645.19490,34.96130,-34.96130,0,2.03000,0.11000,-0.11000,0,Msini,0.170000,0.040000,-0.040000,0,,,,,,,,,0,,5612.00,,,0,0.89,0.05,-0.05,0,0.87,,,0,-0.168,0.007,-0.007,0,[M/H],4.44,,,0,07h53m41.03s,118.4209646,-63d38m48.08s,-63.6466892,35.1205000,0.0394500,-0.0394500,7.9700000,0.0300000,-0.0300000,6.3290000,0.0270000,-0.0270000,7.7943000,0.0002140,-0.0002140
HD 66141 b,HD 66141,1,1,Radial Velocity,2012,Bohyunsan Optical Astronomical Observatory,0,480.50000000,0.50000000,-0.50000000,0,1.200000,0.100000,-0.100000,0,12.800,,,0,1.140,,,0,1906.90000,95.30000,-95.30000,0,6.00000,0.30000,-0.30000,0,Msini,0.070000,0.030000,-0.030000,0,,,,,,,,,0,K2 III,4323.00,15.00,-15.00,0,21.40,0.60,-0.60,0,1.10,0.10,-0.10,0,-0.323,0.034,-0.034,0,[Fe/H],1.78,0.04,-0.04,0,08h02m15.91s,120.5662825,+02d20m06.10s,2.3350265,68.1509000,2.1134500,-2.1134500,4.3782100,0.0230000,-0.0230000,1.4470000,0.3080000,-0.3080000,3.9792600,0.0070804,-0.0070804
HD 66428 b,HD 66428,1,1,Radial Velocity,2005,W. M. Keck Observatory,0,2263.12000000,6.13000000,-5.94000000,0,3.467000,0.024000,-0.024000,0,13.100,,,0,1.170,,,0,1018.32732,13.66669,-13.66669,0,3.20400,0.04300,-0.04300,0,Msini,0.493000,0.015000,-0.015000,0,,,,,,,,,0,,5773.00,23.00,-23.00,0,1.10,0.06,-0.06,0,1.08,0.02,-0.02,0,0.230,0.050,-0.050,0,[Fe/H],4.36,0.05,-0.05,0,08h03m28.60s,120.8691654,-01d09m48.97s,-1.1636019,53.2817000,0.2171000,-0.2171000,8.2500000,0.0300000,-0.0300000,6.6600000,0.0210000,-0.0210000,8.0814200,0.0002450,-0.0002450
HD 67087 b,HD 67087,1,2,Radial Velocity,2015,Multiple Observatories,0,352.20000000,1.70000000,-1.60000000,0,1.080000,0.040000,-0.040000,0,13.100,,,0,1.170,,,0,973.00000,70.00000,-64.00000,0,3.06000,0.22000,-0.20000,0,Msini,0.170000,0.070000,-0.070000,0,,,,,,,,,0,F8 V,6330.00,47.00,-47.00,0,1.55,0.32,-0.32,0,1.36,0.04,-0.04,0,0.250,0.040,-0.040,0,[Fe/H],4.19,0.06,-0.06,0,08h07m39.74s,121.9155672,+31d33m04.16s,31.5511553,76.5217000,0.3301000,-0.3301000,8.0500000,0.0300000,-0.0300000,6.8660000,0.0180000,-0.0180000,7.9223500,0.0004780,-0.0004780
HD 67087 c,HD 67087,1,2,Radial Velocity,2015,Multiple Observatories,0,2374.00000000,193.00000000,-156.00000000,0,3.860000,0.430000,-0.370000,0,12.900,,,0,1.150,,,0,1540.00000,3180.00000,-1150.00000,0,4.85000,10.00000,-3.61000,0,Msini,0.760000,0.170000,-0.240000,0,,,,,,,,,0,F8 V,6330.00,47.00,-47.00,0,1.55,0.32,-0.32,0,1.36,0.04,-0.04,0,0.250,0.040,-0.040,0,[Fe/H],4.19,0.06,-0.06,0,08h07m39.74s,121.9155672,+31d33m04.16s,31.5511553,76.5217000,0.3301000,-0.3301000,8.0500000,0.0300000,-0.0300000,6.8660000,0.0180000,-0.0180000,7.9223500,0.0004780,-0.0004780
HD 6718 b,HD 6718,1,1,Radial Velocity,2009,La Silla Observatory,0,2496.00000000,180.00000000,-180.00000000,0,3.550000,0.180000,-0.180000,0,13.500,,,0,1.200,,,0,533.95440,76.27920,-76.27920,0,1.68000,0.24000,-0.24000,0,Msini,0.100000,0.080000,-0.080000,0,,,,,,,,,0,,5801.00,41.00,-41.00,0,0.95,0.02,-0.02,0,1.08,0.21,-0.21,0,-0.030,,,0,[Fe/H],4.51,0.08,-0.08,0,01h07m48.86s,16.9536005,-08d14m01.02s,-8.2336165,51.3444000,0.1389000,-0.1389000,8.4500000,0.0300000,-0.0300000,6.8760000,0.0200000,-0.0200000,8.2814700,0.0002470,-0.0002470
HD 68402 b,HD 68402,1,1,Radial Velocity,2016,Multiple Observatories,0,1103.00000000,33.00000000,-33.00000000,0,2.180000,0.090000,-0.090000,0,13.100,,,0,1.170,,,0,975.73810,111.24050,-111.24050,0,3.07000,0.35000,-0.35000,0,Msini,0.030000,0.060000,-0.060000,0,,,,,,,,,0,G5 IV/V,5950.00,100.00,-100.00,0,1.02,0.05,-0.05,0,1.12,0.05,-0.05,0,0.290,0.100,-0.100,0,[Fe/H],4.47,0.05,-0.05,0,08h05m23.39s,121.3474609,-74d24m36.26s,-74.4100732,78.4293000,0.0962500,-0.0962500,9.1100000,0.0300000,-0.0300000,7.6970000,0.0270000,-0.0270000,8.9544300,0.0002290,-0.0002290
HD 68988 b,HD 68988,1,1,Radial Velocity,2001,Multiple Observatories,0,6.27711000,0.00021000,-0.00021000,0,0.070000,0.000000,0.000000,0,13.400,,,0,1.200,,,0,626.12510,31.78300,-31.78300,0,1.97000,0.10000,-0.10000,0,Msini,0.120000,0.010000,-0.010000,0,,,,,,,,,0,G2 V,5932.00,23.00,-23.00,0,1.19,0.02,-0.02,0,1.28,0.09,-0.09,0,0.350,,,0,[Fe/H],4.40,0.03,-0.03,0,08h18m22.45s,124.5935429,+61d27m39.07s,61.4608518,60.8447000,0.1912000,-0.1912000,8.2000000,0.0300000,-0.0300000,6.7430000,0.0240000,-0.0240000,8.0461100,0.0003850,-0.0003850
HD 69830 b,HD 69830,1,3,Radial Velocity,2006,La Silla Observatory,0,8.66700000,0.00300000,-0.00300000,0,0.078500,,,0,3.170,,,0,0.283,,,0,10.20000,,,0,0.03210,,,0,Msini,0.100000,0.040000,-0.040000,0,,,,,,,,,0,,5385.00,20.00,-20.00,0,,,,,0.86,0.03,-0.03,0,-0.050,0.020,-0.020,0,[Fe/H],,,,,08h18m24.24s,124.6010091,-12d38m11.13s,-12.6364246,12.5591000,0.0096500,-0.0096500,5.9600400,0.0230000,-0.0230000,4.1650000,0.0360000,-0.0360000,5.7539200,0.0009726,-0.0009726
HD 69830 c,HD 69830,1,3,Radial Velocity,2006,La Silla Observatory,0,31.56000000,0.04000000,-0.04000000,0,0.186000,,,0,3.460,,,0,0.309,,,0,11.80000,,,0,0.03710,,,0,Msini,0.130000,0.060000,-0.060000,0,,,,,,,,,0,,5385.00,20.00,-20.00,0,,,,,0.86,0.03,-0.03,0,-0.050,0.020,-0.020,0,[Fe/H],,,,,08h18m24.24s,124.6010091,-12d38m11.13s,-12.6364246,12.5591000,0.0096500,-0.0096500,5.9600400,0.0230000,-0.0230000,4.1650000,0.0360000,-0.0360000,5.7539200,0.0009726,-0.0009726
HD 69830 d,HD 69830,1,3,Radial Velocity,2006,La Silla Observatory,0,197.00000000,3.00000000,-3.00000000,0,0.630000,,,0,4.450,,,0,0.397,,,0,18.10000,,,0,0.05700,,,0,Msini,0.070000,0.070000,-0.070000,0,,,,,,,,,0,,5385.00,20.00,-20.00,0,,,,,0.86,0.03,-0.03,0,-0.050,0.020,-0.020,0,[Fe/H],,,,,08h18m24.24s,124.6010091,-12d38m11.13s,-12.6364246,12.5591000,0.0096500,-0.0096500,5.9600400,0.0230000,-0.0230000,4.1650000,0.0360000,-0.0360000,5.7539200,0.0009726,-0.0009726
HD 70573 b,HD 70573,1,1,Radial Velocity,2007,La Silla Observatory,0,851.80000000,11.60000000,-11.60000000,0,1.760000,0.050000,-0.050000,0,12.800,,,0,1.140,,,0,1900.00000,130.00000,-130.00000,0,6.10000,0.40000,-0.40000,0,Msini,0.400000,0.100000,-0.100000,0,,,,,,,,,0,G1-1.5 V,5737.00,70.00,-70.00,0,,,,,1.00,0.10,-0.10,0,-0.180,0.200,-0.200,0,[Fe/H],4.59,0.10,-0.10,0,08h22m49.90s,125.7079153,+01d51m32.79s,1.8591088,59.1820000,0.1561500,-0.1561500,8.6670000,0.0020000,-0.0020000,7.1910000,0.0240000,-0.0240000,8.5426100,0.0009210,-0.0009210
HD 70642 b,HD 70642,1,1,Radial Velocity,2003,Anglo-Australian Telescope,0,2124.54000000,14.65000000,-13.51000000,0,3.318000,0.022000,-0.021000,0,13.400,,,0,1.190,,,0,633.43519,5.72094,-5.72094,0,1.99300,0.01800,-0.01800,0,Msini,0.175000,0.044000,-0.044000,0,,,,,,,,,0,G5,5732.00,23.00,-23.00,0,0.98,0.02,-0.02,0,1.08,0.01,-0.01,0,0.220,0.020,-0.020,0,[Fe/H],4.46,0.02,-0.02,0,08h21m27.87s,125.3661079,-39d42m16.00s,-39.7044432,29.2760000,0.0275500,-0.0275500,7.1700000,0.0300000,-0.0300000,5.5740000,0.0200000,-0.0200000,6.9921100,0.0002350,-0.0002350
HD 7199 b,HD 7199,1,1,Radial Velocity,2011,La Silla Observatory,0,615.00000000,7.00000000,-7.00000000,0,1.360000,0.020000,-0.020000,0,11.100,,,0,0.993,,,0,85.81410,9.53490,-9.53490,0,0.27000,0.03000,-0.03000,0,Msini,0.190000,0.160000,-0.160000,0,,,,,,,,,0,,5371.00,28.00,-28.00,0,0.97,0.02,-0.02,0,0.77,0.09,-0.09,0,0.320,,,0,[Fe/H],4.35,0.05,-0.05,0,01h10m47.50s,17.6979344,-66d11m19.30s,-66.1886947,36.1531000,0.0364000,-0.0364000,8.0600000,0.0300000,-0.0300000,6.2290000,0.0180000,-0.0180000,7.8374300,0.0002300,-0.0002300
HD 72490 b,HD 72490,1,1,Radial Velocity,2018,W. M. Keck Observatory,0,858.00000000,12.00000000,-12.00000000,0,1.880000,0.210000,-0.210000,0,13.500,,,0,1.200,,,0,561.92344,25.42640,-25.42640,0,1.76800,0.08000,-0.08000,0,Msini,0.124000,0.046000,-0.046000,0,,,,,,,,,0,,4934.00,,,0,4.96,,,0,1.21,,,0,,,,,,3.21,,,0,08h33m36.68s,128.4028287,+13d33m02.59s,13.5507189,126.3390000,1.0915000,-1.0915000,7.8200000,0.0300000,-0.0300000,5.6140000,0.0180000,-0.0180000,7.5741500,0.0002190,-0.0002190
HD 72659 b,HD 72659,1,1,Radial Velocity,2002,W. M. Keck Observatory,0,3658.00000000,32.00000000,-32.00000000,0,4.750000,0.080000,-0.080000,0,13.000,,,0,1.160,,,0,1223.64550,73.10090,-73.10090,0,3.85000,0.23000,-0.23000,0,Msini,0.220000,0.030000,-0.030000,0,,,,,,,,,0,G2 V,5932.00,19.00,-19.00,0,1.46,0.02,-0.02,0,1.43,0.11,-0.11,0,-0.020,,,0,[Fe/H],4.27,0.03,-0.03,0,08h34m03.07s,128.5128072,-01d34m07.08s,-1.5686323,51.8949000,0.1446500,-0.1446500,7.4600000,0.0300000,-0.0300000,5.9820000,0.0240000,-0.0240000,7.3107000,0.0001990,-0.0001990
HD 72892 b,HD 72892,1,1,Radial Velocity,2016,Multiple Observatories,0,39.47500000,0.00400000,-0.00400000,0,0.228000,0.008000,-0.008000,0,12.800,,,0,1.140,,,0,1732.17350,117.59710,-117.59710,0,5.45000,0.37000,-0.37000,0,Msini,0.423000,0.006000,-0.006000,0,,,,,,,,,0,G5 V,5688.00,100.00,-100.00,0,1.22,0.06,-0.06,0,1.02,0.05,-0.05,0,0.250,0.100,-0.100,0,[Fe/H],4.27,0.05,-0.05,0,08h34m52.69s,128.7195554,-14d27m26.75s,-14.4574311,69.7311000,0.1866500,-0.1866500,8.8300000,0.0300000,-0.0300000,7.2160000,0.0200000,-0.0200000,8.6469000,0.0002010,-0.0002010
HD 73267 b,HD 73267,1,1,Radial Velocity,2008,La Silla Observatory,0,1245.36000000,2.81000000,-2.81000000,0,2.187000,0.016000,-0.016000,0,13.100,,,0,1.170,,,0,984.31951,13.98452,-13.66669,0,3.09700,0.04400,-0.04300,0,Msini,0.230000,0.014000,-0.014000,0,,,,,,,,,0,G5 V,5387.00,10.00,-10.00,0,0.91,0.03,-0.03,0,0.90,0.02,-0.02,0,0.070,0.040,-0.040,0,[Fe/H],4.45,0.04,-0.04,0,08h36m17.64s,129.0735123,-34d27m34.01s,-34.4594469,50.4093000,0.0727500,-0.0727500,8.9000000,0.0300000,-0.0300000,7.0620000,0.0230000,-0.0230000,8.6783500,0.0002150,-0.0002150
HD 73526 b,HD 73526,1,2,Radial Velocity,2002,Anglo-Australian Telescope,0,188.30000000,0.90000000,-0.90000000,0,0.650000,0.010000,-0.010000,0,13.100,,,0,1.170,,,0,978.91640,98.52730,-98.52730,0,3.08000,0.31000,-0.31000,0,Msini,0.190000,0.050000,-0.050000,0,,,,,,,,,0,,5601.00,24.00,-24.00,0,1.53,0.03,-0.03,0,1.14,0.15,-0.15,0,0.220,,,0,[Fe/H],4.12,0.05,-0.05,0,08h37m16.40s,129.3183310,-41d19m06.32s,-41.3184231,97.2396000,0.3224500,-0.3224500,8.9900000,0.0300000,-0.0300000,7.3020000,0.0260000,-0.0260000,8.7968200,0.0002040,-0.0002040
